Timecode List:,00:00:00.667,00:00:01.376,00:00:02.544,00:00:14.723,00:00:16.266,00:00:23.440,00:00:25.901,00:00:26.818,00:00:28.862,00:00:29.488,00:00:31.949,00:00:33.951,00:00:35.953,00:00:37.204,00:00:49.675,00:00:50.676,00:00:52.427,00:01:01.436,00:01:04.940,00:01:06.024,00:01:11.363,00:01:14.074,00:01:16.451,00:01:17.786,00:01:19.204,00:01:20.789,00:01:23.584
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,16,00:00:00.667,0.667,16,00:00:00.667,0.667
2,17,00:00:00.667,0.667,33,00:00:01.376,1.376,17,00:00:00.709,0.709
3,34,00:00:01.376,1.376,61,00:00:02.544,2.544,28,00:00:01.168,1.168
4,62,00:00:02.544,2.544,353,00:00:14.723,14.723,292,00:00:12.179,12.179
5,354,00:00:14.723,14.723,390,00:00:16.266,16.266,37,00:00:01.543,1.543
6,391,00:00:16.266,16.266,562,00:00:23.440,23.440,172,00:00:07.174,7.174
7,563,00:00:23.440,23.440,621,00:00:25.901,25.901,59,00:00:02.461,2.461
8,622,00:00:25.901,25.901,643,00:00:26.818,26.818,22,00:00:00.917,0.917
9,644,00:00:26.818,26.818,692,00:00:28.862,28.862,49,00:00:02.044,2.044
10,693,00:00:28.862,28.862,707,00:00:29.488,29.488,15,00:00:00.626,0.626
11,708,00:00:29.488,29.488,766,00:00:31.949,31.949,59,00:00:02.461,2.461
12,767,00:00:31.949,31.949,814,00:00:33.951,33.951,48,00:00:02.002,2.002
13,815,00:00:33.951,33.951,862,00:00:35.953,35.953,48,00:00:02.002,2.002
14,863,00:00:35.953,35.953,892,00:00:37.204,37.204,30,00:00:01.251,1.251
15,893,00:00:37.204,37.204,1191,00:00:49.675,49.675,299,00:00:12.471,12.471
16,1192,00:00:49.675,49.675,1215,00:00:50.676,50.676,24,00:00:01.001,1.001
17,1216,00:00:50.676,50.676,1257,00:00:52.427,52.427,42,00:00:01.751,1.751
18,1258,00:00:52.427,52.427,1473,00:01:01.436,61.436,216,00:00:09.009,9.009
19,1474,00:01:01.436,61.436,1557,00:01:04.940,64.940,84,00:00:03.504,3.504
20,1558,00:01:04.940,64.940,1583,00:01:06.024,66.024,26,00:00:01.084,1.084
21,1584,00:01:06.024,66.024,1711,00:01:11.363,71.363,128,00:00:05.339,5.339
22,1712,00:01:11.363,71.363,1776,00:01:14.074,74.074,65,00:00:02.711,2.711
23,1777,00:01:14.074,74.074,1833,00:01:16.451,76.451,57,00:00:02.377,2.377
24,1834,00:01:16.451,76.451,1865,00:01:17.786,77.786,32,00:00:01.335,1.335
25,1866,00:01:17.786,77.786,1899,00:01:19.204,79.204,34,00:00:01.418,1.418
26,1900,00:01:19.204,79.204,1937,00:01:20.789,80.789,38,00:00:01.585,1.585
27,1938,00:01:20.789,80.789,2004,00:01:23.584,83.584,67,00:00:02.795,2.795
28,2005,00:01:23.584,83.584,2024,00:01:24.418,84.418,20,00:00:00.834,0.834
