order,unit_id,title,time_range,generated_anchor_count,p1_candidate_count,prompt_only
1,VU_REF003_R7_001_OPENING_CLOUD_BIRD_LONG,开场长段A：黑场云层到白鸟入画,00:00.00-00:07.00,6,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/01_VU_REF003_R7_001_OPENING_CLOUD_BIRD_LONG.md
2,VU_REF003_R7_002_OPENING_AIRCRAFT_FLASH_LONG,开场长段B：白鸟云层到飞行器闪现,00:07.00-00:16.50,7,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/02_VU_REF003_R7_002_OPENING_AIRCRAFT_FLASH_LONG.md
3,VU_REF003_R7_003_OPENING_TITLE_FLARE_NADIA,开场长段C：标题安全位到日光转Nadia,00:16.50-00:24.80,5,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/03_VU_REF003_R7_003_OPENING_TITLE_FLARE_NADIA.md
4,VU_REF003_R7_004_NADIA_PROFILE_CONTINUE,Nadia侧脸延续,00:24.80-00:25.90,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/04_VU_REF003_R7_004_NADIA_PROFILE_CONTINUE.md
5,VU_REF003_R7_005_NADIA_CLOSE_INSERT,Nadia近景插入,00:25.90-00:26.82,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/05_VU_REF003_R7_005_NADIA_CLOSE_INSERT.md
6,VU_REF003_R7_006_NADIA_TO_JEAN_BRIDGE,Nadia到Jean过渡,00:26.82-00:28.86,4,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/06_VU_REF003_R7_006_NADIA_TO_JEAN_BRIDGE.md
7,VU_REF003_R7_007_JEAN_FACE_FLASH,Jean帽子正脸短插,00:28.86-00:29.49,1,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/07_VU_REF003_R7_007_JEAN_FACE_FLASH.md
8,VU_REF003_R7_008_JEAN_TO_MARIE_BRIDGE,Jean到Marie草地过渡,00:29.49-00:31.95,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/08_VU_REF003_R7_008_JEAN_TO_MARIE_BRIDGE.md
9,VU_REF003_R7_009_MARIE_KING_MEADOW,Marie与King草地段,00:31.95-00:33.95,1,2,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/09_VU_REF003_R7_009_MARIE_KING_MEADOW.md
10,VU_REF003_R7_010_GRANDIS_TRIO_WIDE,Grandis三人组广角,00:33.95-00:35.95,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/10_VU_REF003_R7_010_GRANDIS_TRIO_WIDE.md
11,VU_REF003_R7_011_GRANDIS_TRIO_CLOSE,Grandis三人组近景,00:35.95-00:37.20,1,2,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/11_VU_REF003_R7_011_GRANDIS_TRIO_CLOSE.md
12,VU_REF003_R7_012_RUN_MONTAGE_ENTRY,奔跑Montage入场,00:37.20-00:38.12,3,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/12_VU_REF003_R7_012_RUN_MONTAGE_ENTRY.md
13,VU_REF003_R7_013_NADIA_RUN_FEET,Nadia奔跑脚步,00:38.12-00:39.50,2,1,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/13_VU_REF003_R7_013_NADIA_RUN_FEET.md
14,VU_REF003_R7_014_NADIA_RUN_FRONT,Nadia正面奔跑,00:39.50-00:41.50,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/14_VU_REF003_R7_014_NADIA_RUN_FRONT.md
15,VU_REF003_R7_015_JEAN_RUN,Jean奔跑,00:41.50-00:43.50,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/15_VU_REF003_R7_015_JEAN_RUN.md
16,VU_REF003_R7_016_MARIE_KING_RUN,Marie与King奔跑,00:43.50-00:45.50,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/16_VU_REF003_R7_016_MARIE_KING_RUN.md
17,VU_REF003_R7_017_GROUP_RUN,群像奔跑,00:45.50-00:47.42,2,0,08_generation/jobs/REFERENCE003_R7_HIGH_PRECISION_VIDEO_UNITS_20260701/_PROMPT_INDEX/PROMPT_ONLY/17_VU_REF003_R7_017_GROUP_RUN.md
