sample_index,time_seconds,timecode,frame_path
1,0.000,00:00.00,frames_sampled/reference-002-opening_0001.jpg
2,0.500,00:00.50,frames_sampled/reference-002-opening_0002.jpg
3,1.000,00:01.00,frames_sampled/reference-002-opening_0003.jpg
4,1.500,00:01.50,frames_sampled/reference-002-opening_0004.jpg
5,2.000,00:02.00,frames_sampled/reference-002-opening_0005.jpg
6,2.500,00:02.50,frames_sampled/reference-002-opening_0006.jpg
7,3.000,00:03.00,frames_sampled/reference-002-opening_0007.jpg
8,3.500,00:03.50,frames_sampled/reference-002-opening_0008.jpg
9,4.000,00:04.00,frames_sampled/reference-002-opening_0009.jpg
10,4.500,00:04.50,frames_sampled/reference-002-opening_0010.jpg
11,5.000,00:05.00,frames_sampled/reference-002-opening_0011.jpg
12,5.500,00:05.50,frames_sampled/reference-002-opening_0012.jpg
13,6.000,00:06.00,frames_sampled/reference-002-opening_0013.jpg
14,6.500,00:06.50,frames_sampled/reference-002-opening_0014.jpg
15,7.000,00:07.00,frames_sampled/reference-002-opening_0015.jpg
16,7.500,00:07.50,frames_sampled/reference-002-opening_0016.jpg
17,8.000,00:08.00,frames_sampled/reference-002-opening_0017.jpg
18,8.500,00:08.50,frames_sampled/reference-002-opening_0018.jpg
19,9.000,00:09.00,frames_sampled/reference-002-opening_0019.jpg
20,9.500,00:09.50,frames_sampled/reference-002-opening_0020.jpg
21,10.000,00:10.00,frames_sampled/reference-002-opening_0021.jpg
22,10.500,00:10.50,frames_sampled/reference-002-opening_0022.jpg
23,11.000,00:11.00,frames_sampled/reference-002-opening_0023.jpg
24,11.500,00:11.50,frames_sampled/reference-002-opening_0024.jpg
25,12.000,00:12.00,frames_sampled/reference-002-opening_0025.jpg
26,12.500,00:12.50,frames_sampled/reference-002-opening_0026.jpg
27,13.000,00:13.00,frames_sampled/reference-002-opening_0027.jpg
28,13.500,00:13.50,frames_sampled/reference-002-opening_0028.jpg
29,14.000,00:14.00,frames_sampled/reference-002-opening_0029.jpg
30,14.500,00:14.50,frames_sampled/reference-002-opening_0030.jpg
31,15.000,00:15.00,frames_sampled/reference-002-opening_0031.jpg
32,15.500,00:15.50,frames_sampled/reference-002-opening_0032.jpg
33,16.000,00:16.00,frames_sampled/reference-002-opening_0033.jpg
34,16.500,00:16.50,frames_sampled/reference-002-opening_0034.jpg
35,17.000,00:17.00,frames_sampled/reference-002-opening_0035.jpg
36,17.500,00:17.50,frames_sampled/reference-002-opening_0036.jpg
37,18.000,00:18.00,frames_sampled/reference-002-opening_0037.jpg
38,18.500,00:18.50,frames_sampled/reference-002-opening_0038.jpg
39,19.000,00:19.00,frames_sampled/reference-002-opening_0039.jpg
40,19.500,00:19.50,frames_sampled/reference-002-opening_0040.jpg
41,20.000,00:20.00,frames_sampled/reference-002-opening_0041.jpg
42,20.500,00:20.50,frames_sampled/reference-002-opening_0042.jpg
43,21.000,00:21.00,frames_sampled/reference-002-opening_0043.jpg
44,21.500,00:21.50,frames_sampled/reference-002-opening_0044.jpg
45,22.000,00:22.00,frames_sampled/reference-002-opening_0045.jpg
46,22.500,00:22.50,frames_sampled/reference-002-opening_0046.jpg
