sample_index,time_seconds,timecode,frame_path
1,0.000,00:00.00,frames_sampled/reference-003-full-op-2160p_0001.jpg
2,0.500,00:00.50,frames_sampled/reference-003-full-op-2160p_0002.jpg
3,1.000,00:01.00,frames_sampled/reference-003-full-op-2160p_0003.jpg
4,1.500,00:01.50,frames_sampled/reference-003-full-op-2160p_0004.jpg
5,2.000,00:02.00,frames_sampled/reference-003-full-op-2160p_0005.jpg
6,2.500,00:02.50,frames_sampled/reference-003-full-op-2160p_0006.jpg
7,3.000,00:03.00,frames_sampled/reference-003-full-op-2160p_0007.jpg
8,3.500,00:03.50,frames_sampled/reference-003-full-op-2160p_0008.jpg
9,4.000,00:04.00,frames_sampled/reference-003-full-op-2160p_0009.jpg
10,4.500,00:04.50,frames_sampled/reference-003-full-op-2160p_0010.jpg
11,5.000,00:05.00,frames_sampled/reference-003-full-op-2160p_0011.jpg
12,5.500,00:05.50,frames_sampled/reference-003-full-op-2160p_0012.jpg
13,6.000,00:06.00,frames_sampled/reference-003-full-op-2160p_0013.jpg
14,6.500,00:06.50,frames_sampled/reference-003-full-op-2160p_0014.jpg
15,7.000,00:07.00,frames_sampled/reference-003-full-op-2160p_0015.jpg
16,7.500,00:07.50,frames_sampled/reference-003-full-op-2160p_0016.jpg
17,8.000,00:08.00,frames_sampled/reference-003-full-op-2160p_0017.jpg
18,8.500,00:08.50,frames_sampled/reference-003-full-op-2160p_0018.jpg
19,9.000,00:09.00,frames_sampled/reference-003-full-op-2160p_0019.jpg
20,9.500,00:09.50,frames_sampled/reference-003-full-op-2160p_0020.jpg
21,10.000,00:10.00,frames_sampled/reference-003-full-op-2160p_0021.jpg
22,10.500,00:10.50,frames_sampled/reference-003-full-op-2160p_0022.jpg
23,11.000,00:11.00,frames_sampled/reference-003-full-op-2160p_0023.jpg
24,11.500,00:11.50,frames_sampled/reference-003-full-op-2160p_0024.jpg
25,12.000,00:12.00,frames_sampled/reference-003-full-op-2160p_0025.jpg
26,12.500,00:12.50,frames_sampled/reference-003-full-op-2160p_0026.jpg
27,13.000,00:13.00,frames_sampled/reference-003-full-op-2160p_0027.jpg
28,13.500,00:13.50,frames_sampled/reference-003-full-op-2160p_0028.jpg
29,14.000,00:14.00,frames_sampled/reference-003-full-op-2160p_0029.jpg
30,14.500,00:14.50,frames_sampled/reference-003-full-op-2160p_0030.jpg
31,15.000,00:15.00,frames_sampled/reference-003-full-op-2160p_0031.jpg
32,15.500,00:15.50,frames_sampled/reference-003-full-op-2160p_0032.jpg
33,16.000,00:16.00,frames_sampled/reference-003-full-op-2160p_0033.jpg
34,16.500,00:16.50,frames_sampled/reference-003-full-op-2160p_0034.jpg
35,17.000,00:17.00,frames_sampled/reference-003-full-op-2160p_0035.jpg
36,17.500,00:17.50,frames_sampled/reference-003-full-op-2160p_0036.jpg
37,18.000,00:18.00,frames_sampled/reference-003-full-op-2160p_0037.jpg
38,18.500,00:18.50,frames_sampled/reference-003-full-op-2160p_0038.jpg
39,19.000,00:19.00,frames_sampled/reference-003-full-op-2160p_0039.jpg
40,19.500,00:19.50,frames_sampled/reference-003-full-op-2160p_0040.jpg
41,20.000,00:20.00,frames_sampled/reference-003-full-op-2160p_0041.jpg
42,20.500,00:20.50,frames_sampled/reference-003-full-op-2160p_0042.jpg
43,21.000,00:21.00,frames_sampled/reference-003-full-op-2160p_0043.jpg
44,21.500,00:21.50,frames_sampled/reference-003-full-op-2160p_0044.jpg
45,22.000,00:22.00,frames_sampled/reference-003-full-op-2160p_0045.jpg
46,22.500,00:22.50,frames_sampled/reference-003-full-op-2160p_0046.jpg
47,23.000,00:23.00,frames_sampled/reference-003-full-op-2160p_0047.jpg
48,23.500,00:23.50,frames_sampled/reference-003-full-op-2160p_0048.jpg
49,24.000,00:24.00,frames_sampled/reference-003-full-op-2160p_0049.jpg
50,24.500,00:24.50,frames_sampled/reference-003-full-op-2160p_0050.jpg
51,25.000,00:25.00,frames_sampled/reference-003-full-op-2160p_0051.jpg
52,25.500,00:25.50,frames_sampled/reference-003-full-op-2160p_0052.jpg
53,26.000,00:26.00,frames_sampled/reference-003-full-op-2160p_0053.jpg
54,26.500,00:26.50,frames_sampled/reference-003-full-op-2160p_0054.jpg
55,27.000,00:27.00,frames_sampled/reference-003-full-op-2160p_0055.jpg
56,27.500,00:27.50,frames_sampled/reference-003-full-op-2160p_0056.jpg
57,28.000,00:28.00,frames_sampled/reference-003-full-op-2160p_0057.jpg
58,28.500,00:28.50,frames_sampled/reference-003-full-op-2160p_0058.jpg
59,29.000,00:29.00,frames_sampled/reference-003-full-op-2160p_0059.jpg
60,29.500,00:29.50,frames_sampled/reference-003-full-op-2160p_0060.jpg
61,30.000,00:30.00,frames_sampled/reference-003-full-op-2160p_0061.jpg
62,30.500,00:30.50,frames_sampled/reference-003-full-op-2160p_0062.jpg
63,31.000,00:31.00,frames_sampled/reference-003-full-op-2160p_0063.jpg
64,31.500,00:31.50,frames_sampled/reference-003-full-op-2160p_0064.jpg
65,32.000,00:32.00,frames_sampled/reference-003-full-op-2160p_0065.jpg
66,32.500,00:32.50,frames_sampled/reference-003-full-op-2160p_0066.jpg
67,33.000,00:33.00,frames_sampled/reference-003-full-op-2160p_0067.jpg
68,33.500,00:33.50,frames_sampled/reference-003-full-op-2160p_0068.jpg
69,34.000,00:34.00,frames_sampled/reference-003-full-op-2160p_0069.jpg
70,34.500,00:34.50,frames_sampled/reference-003-full-op-2160p_0070.jpg
71,35.000,00:35.00,frames_sampled/reference-003-full-op-2160p_0071.jpg
72,35.500,00:35.50,frames_sampled/reference-003-full-op-2160p_0072.jpg
73,36.000,00:36.00,frames_sampled/reference-003-full-op-2160p_0073.jpg
74,36.500,00:36.50,frames_sampled/reference-003-full-op-2160p_0074.jpg
75,37.000,00:37.00,frames_sampled/reference-003-full-op-2160p_0075.jpg
76,37.500,00:37.50,frames_sampled/reference-003-full-op-2160p_0076.jpg
