order,unit_id,time_range,title,stage,keyframes,blocking_keyframes,expected_video_output_path
1,VU_REF003_001_BLACK_CLOUD_FADEIN,00:00.00-00:02.00,黑场到云层蓝天淡入,ready_for_video_generation,OP_SHOT_001 OP_SHOT_002,,08_generation/outputs/video/reference003_segments/VU_REF003_001_BLACK_CLOUD_FADEIN.mp4
2,VU_REF003_002_WHITE_BIRD_SKY,00:02.50-00:07.00,白鸟入画与蓝天滑翔,ready_for_video_generation,OP_SHOT_003 OP_SHOT_004,,08_generation/outputs/video/reference003_segments/VU_REF003_002_WHITE_BIRD_SKY.mp4
3,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,00:07.00-00:14.00,白鸟字幕安全位与云层增长,ready_for_video_generation,OP_SHOT_005 OP_SHOT_006,,08_generation/outputs/video/reference003_segments/VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS.mp4
4,VU_REF003_004_AIRCRAFT_BRIEF_REVEAL,00:14.50-00:16.50,飞行器短暂露出,ready_for_video_generation,OP_SHOT_007,,08_generation/outputs/video/reference003_segments/VU_REF003_004_AIRCRAFT_BRIEF_REVEAL.mp4
5,VU_REF003_005_MAIN_TITLE_SAFE_HOLD,00:17.00-00:22.00,主标题功能位无字 hold,ready_for_video_generation,OP_SHOT_008,,08_generation/outputs/video/reference003_segments/VU_REF003_005_MAIN_TITLE_SAFE_HOLD.mp4
6,VU_REF003_006_SUN_FLARE_TO_NADIA,00:22.50-00:23.50,太阳光转 Nadia,ready_for_video_generation,OP_SHOT_009,,08_generation/outputs/video/reference003_segments/VU_REF003_006_SUN_FLARE_TO_NADIA.mp4
7,VU_REF003_007_NADIA_PROFILE_ENTRY,00:24.00-00:27.50,Nadia 侧脸入场到近景,ready_for_video_generation,OP_SHOT_010 OP_SHOT_011,,08_generation/outputs/video/reference003_segments/VU_REF003_007_NADIA_PROFILE_ENTRY.mp4
8,VU_REF003_008_JEAN_INTRO,00:28.00-00:30.50,Jean 帽子与少年发明家入场,ready_for_video_generation,OP_SHOT_012,,08_generation/outputs/video/reference003_segments/VU_REF003_008_JEAN_INTRO.mp4
9,VU_REF003_009_MARIE_KING_MEADOW,00:31.00-00:34.00,Marie 与 King 草地段,ready_for_video_generation,OP_SHOT_013 OP_SHOT_014,,08_generation/outputs/video/reference003_segments/VU_REF003_009_MARIE_KING_MEADOW.mp4
10,VU_REF003_010_GRANDIS_TRIO_INTRO,00:34.50-00:37.50,Grandis 三人组介绍,ready_for_video_generation,OP_SHOT_015 OP_SHOT_016,,08_generation/outputs/video/reference003_segments/VU_REF003_010_GRANDIS_TRIO_INTRO.mp4
11,VU_REF003_011_RUNNING_MONTAGE,00:38.00-00:47.50,角色奔跑 montage,ready_for_video_generation,OP_SHOT_017 OP_SHOT_018 OP_SHOT_019 OP_SHOT_020 OP_SHOT_021 OP_SHOT_022,,08_generation/outputs/video/reference003_segments/VU_REF003_011_RUNNING_MONTAGE.mp4
12,VU_REF003_012_GRANDIS_VEHICLE_ACTION,00:48.00-00:51.50,Grandis 车辆动作到群像,ready_for_video_generation,OP_SHOT_023 OP_SHOT_024 OP_SHOT_025,,08_generation/outputs/video/reference003_segments/VU_REF003_012_GRANDIS_VEHICLE_ACTION.mp4
13,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,00:52.00-01:01.00,Nautilus 海底光束段,ready_for_video_generation,OP_SHOT_026 OP_SHOT_027 OP_SHOT_028,,08_generation/outputs/video/reference003_segments/VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS.mp4
14,VU_REF003_014_NIGHT_CITY_BLUE_GRID,01:01.50-01:04.50,夜城与蓝色地面图案,ready_for_video_generation,OP_SHOT_029 OP_SHOT_030,,08_generation/outputs/video/reference003_segments/VU_REF003_014_NIGHT_CITY_BLUE_GRID.mp4
15,VU_REF003_015_NIGHT_AIRCRAFT_PASS,01:05.00-01:06.00,夜航飞行器短切,ready_for_video_generation,OP_SHOT_031,,08_generation/outputs/video/reference003_segments/VU_REF003_015_NIGHT_AIRCRAFT_PASS.mp4
16,VU_REF003_016_NEMO_SUNSET_PROFILE,01:06.50-01:11.00,Nemo 夕景船长肖像,ready_for_video_generation,OP_SHOT_032 OP_SHOT_033,,08_generation/outputs/video/reference003_segments/VU_REF003_016_NEMO_SUNSET_PROFILE.mp4
17,VU_REF003_017_NADIA_SOLEMN_CLOSE,01:11.50-01:13.00,Nadia 庄重正面近景,ready_for_video_generation,OP_SHOT_034,,08_generation/outputs/video/reference003_segments/VU_REF003_017_NADIA_SOLEMN_CLOSE.mp4
18,VU_REF003_018_BLUE_WATER_SYMBOL,01:13.50-01:17.00,Blue Water 象征与水下纹理,ready_for_video_generation,OP_SHOT_035 OP_SHOT_036 OP_SHOT_037,,08_generation/outputs/video/reference003_segments/VU_REF003_018_BLUE_WATER_SYMBOL.mp4
19,VU_REF003_019_WATER_SPLASH_TRANSITION,01:17.50-01:19.50,水花爆发转天空,ready_for_video_generation,OP_SHOT_038 OP_SHOT_039,,08_generation/outputs/video/reference003_segments/VU_REF003_019_WATER_SPLASH_TRANSITION.mp4
20,VU_REF003_020_FINAL_SKY_SAFE_HOLD,01:19.50-01:23.00,最终无字天空 hold,ready_for_video_generation,OP_SHOT_040 OP_SHOT_041,,08_generation/outputs/video/reference003_segments/VU_REF003_020_FINAL_SKY_SAFE_HOLD.mp4
21,VU_REF003_021_BLACK_TAIL,01:23.50-01:24.44,黑场尾帧,ready_for_video_generation,OP_SHOT_042,,08_generation/outputs/video/reference003_segments/VU_REF003_021_BLACK_TAIL.mp4
