edge_id,from,to,from_unit,to_unit,transition_type,visual_bridge,review_status,reviewed_at,reviewer,evidence_path,review_notes
TE_REF003_001_001_TO_002,OP_SHOT_001,OP_SHOT_002,VU_REF003_001_BLACK_CLOUD_FADEIN,VU_REF003_001_BLACK_CLOUD_FADEIN,intra_unit_continuity,黑场/云层淡入 -> 云层蓝天显现,pending,,,,
TE_REF003_002_002_TO_003,OP_SHOT_002,OP_SHOT_003,VU_REF003_001_BLACK_CLOUD_FADEIN,VU_REF003_002_WHITE_BIRD_SKY,reference_cut_or_match,云层蓝天显现 -> 白鸟首次入画,pending,,,,
TE_REF003_003_003_TO_004,OP_SHOT_003,OP_SHOT_004,VU_REF003_002_WHITE_BIRD_SKY,VU_REF003_002_WHITE_BIRD_SKY,intra_unit_continuity,白鸟首次入画 -> 白鸟滑翔延续,pending,,,,
TE_REF003_004_004_TO_005,OP_SHOT_004,OP_SHOT_005,VU_REF003_002_WHITE_BIRD_SKY,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,reference_cut_or_match,白鸟滑翔延续 -> 无字职员表安全位,pending,,,,
TE_REF003_005_005_TO_006,OP_SHOT_005,OP_SHOT_006,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,intra_unit_continuity,无字职员表安全位 -> 云层增长填画,pending,,,,
TE_REF003_006_006_TO_007,OP_SHOT_006,OP_SHOT_007,VU_REF003_003_CREDIT_SAFE_BIRD_CLOUDS,VU_REF003_004_AIRCRAFT_BRIEF_REVEAL,reference_cut_or_match,云层增长填画 -> 飞行器短露,pending,,,,
TE_REF003_007_007_TO_008,OP_SHOT_007,OP_SHOT_008,VU_REF003_004_AIRCRAFT_BRIEF_REVEAL,VU_REF003_005_MAIN_TITLE_SAFE_HOLD,reference_cut_or_match,飞行器短露 -> 主标题无字安全位,pending,,,,
TE_REF003_008_008_TO_009,OP_SHOT_008,OP_SHOT_009,VU_REF003_005_MAIN_TITLE_SAFE_HOLD,VU_REF003_006_SUN_FLARE_TO_NADIA,reference_cut_or_match,主标题无字安全位 -> 太阳光线转场,pending,,,,
TE_REF003_009_009_TO_010,OP_SHOT_009,OP_SHOT_010,VU_REF003_006_SUN_FLARE_TO_NADIA,VU_REF003_007_NADIA_PROFILE_ENTRY,reference_cut_or_match,太阳光线转场 -> Nadia 侧脸入场,pending,,,,
TE_REF003_010_010_TO_011,OP_SHOT_010,OP_SHOT_011,VU_REF003_007_NADIA_PROFILE_ENTRY,VU_REF003_007_NADIA_PROFILE_ENTRY,intra_unit_continuity,Nadia 侧脸入场 -> Nadia 正面近景,pending,,,,
TE_REF003_011_011_TO_012,OP_SHOT_011,OP_SHOT_012,VU_REF003_007_NADIA_PROFILE_ENTRY,VU_REF003_008_JEAN_INTRO,reference_cut_or_match,Nadia 正面近景 -> Jean 入场,pending,,,,
TE_REF003_012_012_TO_013,OP_SHOT_012,OP_SHOT_013,VU_REF003_008_JEAN_INTRO,VU_REF003_009_MARIE_KING_MEADOW,reference_cut_or_match,Jean 入场 -> Marie 与 King 草地笑点,pending,,,,
TE_REF003_013_013_TO_014,OP_SHOT_013,OP_SHOT_014,VU_REF003_009_MARIE_KING_MEADOW,VU_REF003_009_MARIE_KING_MEADOW,intra_unit_continuity,Marie 与 King 草地笑点 -> Marie 与 King 近景,pending,,,,
TE_REF003_014_014_TO_015,OP_SHOT_014,OP_SHOT_015,VU_REF003_009_MARIE_KING_MEADOW,VU_REF003_010_GRANDIS_TRIO_INTRO,reference_cut_or_match,Marie 与 King 近景 -> Grandis 三人组宽景,pending,,,,
TE_REF003_015_015_TO_016,OP_SHOT_015,OP_SHOT_016,VU_REF003_010_GRANDIS_TRIO_INTRO,VU_REF003_010_GRANDIS_TRIO_INTRO,intra_unit_continuity,Grandis 三人组宽景 -> Grandis 三人组近景,pending,,,,
TE_REF003_016_016_TO_017,OP_SHOT_016,OP_SHOT_017,VU_REF003_010_GRANDIS_TRIO_INTRO,VU_REF003_011_RUNNING_MONTAGE,reference_cut_or_match,Grandis 三人组近景 -> Nadia 奔跑脚步,pending,,,,
TE_REF003_017_017_TO_018,OP_SHOT_017,OP_SHOT_018,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_011_RUNNING_MONTAGE,intra_unit_continuity,Nadia 奔跑脚步 -> Nadia 奔跑正面,pending,,,,
TE_REF003_018_018_TO_019,OP_SHOT_018,OP_SHOT_019,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_011_RUNNING_MONTAGE,intra_unit_continuity,Nadia 奔跑正面 -> Jean 奔跑,pending,,,,
TE_REF003_019_019_TO_020,OP_SHOT_019,OP_SHOT_020,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_011_RUNNING_MONTAGE,intra_unit_continuity,Jean 奔跑 -> Marie 奔跑,pending,,,,
TE_REF003_020_020_TO_021,OP_SHOT_020,OP_SHOT_021,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_011_RUNNING_MONTAGE,intra_unit_continuity,Marie 奔跑 -> 全员奔跑,pending,,,,
TE_REF003_021_021_TO_022,OP_SHOT_021,OP_SHOT_022,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_011_RUNNING_MONTAGE,intra_unit_continuity,全员奔跑 -> Jean 反应近景,pending,,,,
TE_REF003_022_022_TO_023,OP_SHOT_022,OP_SHOT_023,VU_REF003_011_RUNNING_MONTAGE,VU_REF003_012_GRANDIS_VEHICLE_ACTION,reference_cut_or_match,Jean 反应近景 -> Grandis 动作桥,pending,,,,
TE_REF003_023_023_TO_024,OP_SHOT_023,OP_SHOT_024,VU_REF003_012_GRANDIS_VEHICLE_ACTION,VU_REF003_012_GRANDIS_VEHICLE_ACTION,intra_unit_continuity,Grandis 动作桥 -> 车辆/飞行器空中动作,pending,,,,
TE_REF003_024_024_TO_025,OP_SHOT_024,OP_SHOT_025,VU_REF003_012_GRANDIS_VEHICLE_ACTION,VU_REF003_012_GRANDIS_VEHICLE_ACTION,intra_unit_continuity,车辆/飞行器空中动作 -> 全员群像,pending,,,,
TE_REF003_025_025_TO_026,OP_SHOT_025,OP_SHOT_026,VU_REF003_012_GRANDIS_VEHICLE_ACTION,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,reference_cut_or_match,全员群像 -> Nautilus 水下初现,pending,,,,
TE_REF003_026_026_TO_027,OP_SHOT_026,OP_SHOT_027,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,intra_unit_continuity,Nautilus 水下初现 -> Nautilus 水下通过,pending,,,,
TE_REF003_027_027_TO_028,OP_SHOT_027,OP_SHOT_028,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,intra_unit_continuity,Nautilus 水下通过 -> Nautilus 深蓝剪影,pending,,,,
TE_REF003_028_028_TO_029,OP_SHOT_028,OP_SHOT_029,VU_REF003_013_NAUTILUS_UNDERSEA_CREDITS,VU_REF003_014_NIGHT_CITY_BLUE_GRID,reference_cut_or_match,Nautilus 深蓝剪影 -> 夜城初现,pending,,,,
TE_REF003_029_029_TO_030,OP_SHOT_029,OP_SHOT_030,VU_REF003_014_NIGHT_CITY_BLUE_GRID,VU_REF003_014_NIGHT_CITY_BLUE_GRID,intra_unit_continuity,夜城初现 -> 蓝色地面图案,pending,,,,
