item_key,scope,item_id,title,media_path,media_exists,source_status,review_status,reviewed_at,reviewer,evidence_path,review_notes,required_check
keyframe:OP_SHOT_001,keyframe,OP_SHOT_001,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_001.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_002,keyframe,OP_SHOT_002,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_002.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_003,keyframe,OP_SHOT_003,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_003.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_004,keyframe,OP_SHOT_004,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_004.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_005,keyframe,OP_SHOT_005,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_005.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_006,keyframe,OP_SHOT_006,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630/outputs/OP_SHOT_006_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_007,keyframe,OP_SHOT_007,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_007.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_008,keyframe,OP_SHOT_008,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_008_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_009,keyframe,OP_SHOT_009,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_009.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_010,keyframe,OP_SHOT_010,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_010_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_011,keyframe,OP_SHOT_011,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_011_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_012,keyframe,OP_SHOT_012,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH02/outputs/OP_SHOT_012.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_013,keyframe,OP_SHOT_013,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_013.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_014,keyframe,OP_SHOT_014,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_014.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_015,keyframe,OP_SHOT_015,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_015.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_016,keyframe,OP_SHOT_016,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_016_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_017,keyframe,OP_SHOT_017,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_017.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_018,keyframe,OP_SHOT_018,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH03/outputs/OP_SHOT_018.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_019,keyframe,OP_SHOT_019,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_019.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_020,keyframe,OP_SHOT_020,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_020.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_021,keyframe,OP_SHOT_021,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_021_v2.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_022,keyframe,OP_SHOT_022,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_022.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
keyframe:OP_SHOT_023,keyframe,OP_SHOT_023,,08_generation/jobs/REFERENCE003_OFFICIAL_KEYFRAMES_QA_20260630_BATCH04/outputs/OP_SHOT_023.png,True,generated_reference003_qa_pass,pending,,,,,No readable text/title/credit/logo/subtitle/watermark/random symbols in generated keyframe.
