frame,time_sec,timecode,gray_diff,hist_diff,edge_diff,composite
1,0.042,00:00.04,0.000237,0.073151,0.0,0.025733
2,0.083,00:00.08,6e-05,0.014234,0.0,0.005015
3,0.125,00:00.13,5.1e-05,0.010267,0.0,0.003621
4,0.167,00:00.17,4.9e-05,0.010277,0.0,0.003624
5,0.209,00:00.21,5.7e-05,0.024594,0.0,0.008639
6,0.25,00:00.25,4.1e-05,0.011239,0.0,0.003956
7,0.292,00:00.29,2.6e-05,0.01266,0.0,0.004445
8,0.334,00:00.33,6.1e-05,0.018465,0.0,0.006496
9,0.375,00:00.38,8.9e-05,0.046922,0.0,0.016471
10,0.417,00:00.42,5.2e-05,0.013951,0.0,0.004911
11,0.459,00:00.46,3.7e-05,0.010304,0.0,0.003626
12,0.501,00:00.50,0.000287,0.10687,0.0,0.037562
13,0.542,00:00.54,5.8e-05,0.040177,0.0,0.014094
14,0.584,00:00.58,3.2e-05,0.015593,0.0,0.005475
15,0.626,00:00.63,3.8e-05,0.010466,0.0,0.003684
16,0.667,00:00.67,0.942235,0.841245,0.0,0.812665
17,0.709,00:00.71,0.012266,0.09032,0.0,0.038358
18,0.751,00:00.75,0.008446,0.127091,0.0,0.049127
19,0.792,00:00.79,0.005512,0.051359,0.0,0.021007
20,0.834,00:00.83,0.003941,0.064703,0.0,0.024813
21,0.876,00:00.88,0.003194,0.127344,0.0,0.046327
22,0.918,00:00.92,0.006078,0.139843,0.001481,0.052436
23,0.959,00:00.96,0.007986,0.096205,0.004097,0.038474
24,1.001,00:01.00,0.011755,0.106976,0.004884,0.044395
25,1.043,00:01.04,0.013798,0.076306,0.004028,0.034699
26,1.084,00:01.08,0.020459,0.128204,0.004491,0.056573
27,1.126,00:01.13,0.030479,0.120658,0.009491,0.059943
28,1.168,00:01.17,0.046526,0.125948,0.015231,0.071194
29,1.21,00:01.21,0.052353,0.191745,0.014259,0.097331
30,1.251,00:01.25,0.081801,0.275438,0.026319,0.144026
31,1.293,00:01.29,0.071032,0.095911,0.037083,0.076345
32,1.335,00:01.33,0.076745,0.157322,0.030324,0.100305
33,1.376,00:01.38,0.105557,0.229708,0.0425,0.142704
34,1.418,00:01.42,0.100614,0.09342,0.065,0.094535
35,1.46,00:01.46,0.105832,0.163025,0.062431,0.12151
36,1.502,00:01.50,0.120046,0.108537,0.056528,0.109666
37,1.543,00:01.54,0.134246,0.081274,0.066574,0.108939
38,1.585,00:01.58,0.130505,0.058567,0.067685,0.099045
39,1.627,00:01.63,0.110417,0.082261,0.06213,0.095733
40,1.668,00:01.67,0.099891,0.091562,0.055278,0.092515
41,1.71,00:01.71,0.098051,0.064073,0.048958,0.081249
42,1.752,00:01.75,0.102919,0.097146,0.046736,0.09528
43,1.793,00:01.79,0.109107,0.071263,0.047755,0.089726
44,1.835,00:01.84,0.102469,0.066067,0.050718,0.084553
45,1.877,00:01.88,0.112399,0.064691,0.054861,0.089947
46,1.919,00:01.92,0.149671,0.101044,0.053125,0.122997
47,1.96,00:01.96,0.138637,0.085682,0.04875,0.111114
48,2.002,00:02.00,0.115031,0.084911,0.04287,0.097273
49,2.044,00:02.04,0.091025,0.059122,0.038773,0.074634
50,2.085,00:02.09,0.069436,0.099367,0.033704,0.076339
51,2.127,00:02.13,0.055663,0.079559,0.027153,0.061176
52,2.169,00:02.17,0.050812,0.113315,0.020648,0.069672
53,2.211,00:02.21,0.041402,0.102606,0.016829,0.060366
54,2.252,00:02.25,0.025879,0.094127,0.010926,0.048271
55,2.294,00:02.29,0.009112,0.067322,0.005602,0.029135
56,2.336,00:02.34,0.007196,0.134708,0.002894,0.051395
57,2.377,00:02.38,0.004584,0.049829,0.002338,0.020195
58,2.419,00:02.42,0.004188,0.0438,0.001829,0.017816
59,2.461,00:02.46,0.197426,0.429678,0.016667,0.260638
60,2.503,00:02.50,0.273155,0.111462,0.026713,0.191918
61,2.544,00:02.54,0.126343,0.108802,0.034329,0.111002
62,2.586,00:02.59,0.070235,0.121415,0.026319,0.083756
63,2.628,00:02.63,0.000724,0.011176,0.00037,0.004347
64,2.669,00:02.67,0.015751,0.025425,0.019259,0.019488
65,2.711,00:02.71,0.000506,0.012397,0.000278,0.004645
66,2.753,00:02.75,0.01473,0.025085,0.016991,0.018581
67,2.794,00:02.79,0.000633,0.010766,0.00081,0.004197
68,2.836,00:02.84,0.015842,0.047356,0.016991,0.026987
69,2.878,00:02.88,0.000694,0.015497,0.001435,0.005949
70,2.92,00:02.92,0.011478,0.023484,0.014699,0.016002
71,2.961,00:02.96,0.000155,0.006282,0.000185,0.002302
72,3.003,00:03.00,0.007677,0.017027,0.011759,0.011358
73,3.045,00:03.04,0.000369,0.009947,0.00081,0.003766
74,3.086,00:03.09,0.006775,0.017179,0.011875,0.010926
75,3.128,00:03.13,0.000192,0.008335,0.000301,0.003053
76,3.17,00:03.17,0.003909,0.048527,0.008194,0.019954
77,3.212,00:03.21,0.000465,0.019344,0.000347,0.007061
78,3.253,00:03.25,0.003244,0.018014,0.008611,0.00895
79,3.295,00:03.29,0.000186,0.006719,0.000208,0.002475
80,3.337,00:03.34,0.002553,0.017474,0.007708,0.008291
81,3.378,00:03.38,0.00027,0.006945,0.000208,0.0026
82,3.42,00:03.42,0.002447,0.013375,0.007384,0.006766
83,3.462,00:03.46,0.000306,0.006875,0.000903,0.002665
84,3.504,00:03.50,0.005043,0.016045,0.010509,0.009441
85,3.545,00:03.55,0.000763,0.02253,0.001644,0.00847
86,3.587,00:03.59,0.005745,0.017241,0.010972,0.010291
87,3.629,00:03.63,0.000485,0.008729,6.9e-05,0.003329
88,3.67,00:03.67,0.00662,0.023646,0.01044,0.012961
89,3.712,00:03.71,0.000421,0.004989,0.000301,0.002008
90,3.754,00:03.75,0.004924,0.016082,0.010139,0.009351
91,3.795,00:03.80,0.000605,0.009171,0.000116,0.003554
92,3.837,00:03.84,0.011388,0.019783,0.012569,0.014444
93,3.879,00:03.88,0.000323,0.009487,0.000856,0.003584
94,3.921,00:03.92,0.008688,0.017465,0.01162,0.012053
95,3.962,00:03.96,0.000254,0.005297,0.000139,0.002008
96,4.004,00:04.00,0.007826,0.0166,0.01125,0.01124
97,4.046,00:04.05,0.000418,0.009867,0.000949,0.003778
98,4.087,00:04.09,0.010576,0.020685,0.011204,0.014177
99,4.129,00:04.13,0.001109,0.006479,0.000185,0.002896
100,4.171,00:04.17,0.010473,0.036013,0.011088,0.019473
101,4.213,00:04.21,0.000968,0.013848,0.000278,0.005407
102,4.254,00:04.25,0.010131,0.023878,0.012083,0.015137
103,4.296,00:04.30,0.001528,0.055161,0.000718,0.020218
104,4.338,00:04.34,0.0091,0.02268,0.011759,0.014119
105,4.379,00:04.38,0.000243,0.009375,0.000278,0.003443
106,4.421,00:04.42,0.01464,0.017515,0.012801,0.015462
107,4.463,00:04.46,0.000251,0.007593,0.000278,0.002823
108,4.505,00:04.50,0.010538,0.021123,0.012106,0.0144
109,4.546,00:04.55,0.000314,0.008367,0.001065,0.003208
110,4.588,00:04.59,0.010619,0.020567,0.012986,0.014337
111,4.63,00:04.63,0.000117,0.004903,0.000324,0.001813
112,4.671,00:04.67,0.011504,0.024769,0.01338,0.016334
113,4.713,00:04.71,0.000157,0.00837,0.000671,0.003083
114,4.755,00:04.75,0.011673,0.020314,0.013356,0.014866
115,4.796,00:04.80,0.000151,0.009733,0.000139,0.003504
116,4.838,00:04.84,0.015279,0.016464,0.012917,0.015458
117,4.88,00:04.88,0.000149,0.009605,0.000463,0.00349
118,4.922,00:04.92,0.014691,0.021295,0.013449,0.016878
119,4.963,00:04.96,0.000105,0.005073,0.000162,0.001849
120,5.005,00:05.01,0.016499,0.03017,0.014028,0.021037
121,5.047,00:05.05,0.00036,0.00421,6.9e-05,0.001679
122,5.088,00:05.09,0.015806,0.016325,0.013681,0.015775
123,5.13,00:05.13,0.000237,0.00715,0.000301,0.002663
124,5.172,00:05.17,0.003279,0.013359,0.00838,0.007317
125,5.214,00:05.21,0.000271,0.010304,0.000162,0.003772
126,5.255,00:05.26,0.00352,0.014688,0.008727,0.00795
127,5.297,00:05.30,0.000216,0.008087,0.000278,0.002977
128,5.339,00:05.34,0.002498,0.025515,0.006389,0.010943
129,5.38,00:05.38,0.000321,0.010189,0.000417,0.003784
130,5.422,00:05.42,0.002704,0.019191,0.008542,0.009059
131,5.464,00:05.46,0.000411,0.013402,0.001528,0.005069
132,5.506,00:05.51,0.002911,0.018671,0.008542,0.00899
133,5.547,00:05.55,0.00064,0.013327,0.001667,0.005183
134,5.589,00:05.59,0.002322,0.012471,0.0075,0.006392
135,5.631,00:05.63,0.000106,0.005145,0.000162,0.001875
136,5.672,00:05.67,0.00498,0.024081,0.010764,0.012244
137,5.714,00:05.71,0.000418,0.010934,0.000347,0.004092
138,5.756,00:05.76,0.00443,0.014619,0.010417,0.008595
139,5.797,00:05.80,0.000149,0.007545,0.000231,0.002745
140,5.839,00:05.84,0.00487,0.018959,0.011227,0.010437
141,5.881,00:05.88,0.000247,0.005861,0.000532,0.00224
142,5.923,00:05.92,0.004746,0.016533,0.011435,0.00954
143,5.964,00:05.96,0.000109,0.007572,0.000463,0.002757
144,6.006,00:06.01,0.005833,0.016833,0.011227,0.010223
145,6.048,00:06.05,0.000355,0.012365,0.000926,0.004616
146,6.089,00:06.09,0.005506,0.014845,0.011574,0.009381
147,6.131,00:06.13,0.00017,0.005703,0.000486,0.002138
148,6.173,00:06.17,0.004631,0.020163,0.01125,0.010729
149,6.215,00:06.21,0.000525,0.01321,0.00213,0.005125
150,6.256,00:06.26,0.004293,0.014241,0.010347,0.00838
151,6.298,00:06.30,0.000203,0.010349,0.000162,0.00375
152,6.34,00:06.34,0.0092,0.019288,0.011366,0.012947
153,6.381,00:06.38,0.000219,0.008261,0.000324,0.003044
154,6.423,00:06.42,0.008138,0.014684,0.010856,0.010701
155,6.465,00:06.46,0.000424,0.010845,0.000463,0.004075
156,6.507,00:06.51,0.009704,0.019315,0.010162,0.013113
157,6.548,00:06.55,0.000245,0.009979,0.000116,0.003639
158,6.59,00:06.59,0.009067,0.018027,0.009421,0.012238
159,6.632,00:06.63,0.000335,0.01198,0.000185,0.004396
160,6.673,00:06.67,0.008718,0.024105,0.008079,0.014039
161,6.715,00:06.72,0.000294,0.017995,0.000417,0.006502
162,6.757,00:06.76,0.007305,0.020297,0.007338,0.011855
163,6.798,00:06.80,0.000325,0.007231,0.000185,0.002728
164,6.84,00:06.84,0.006948,0.027265,0.006921,0.014056
165,6.882,00:06.88,0.000963,0.026913,0.001528,0.010102
166,6.924,00:06.92,0.005784,0.04006,0.007477,0.01795
