shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,beat,pure_path,whitebox_path
MSB066,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,keyframe,A,小路全貌,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB066_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB066.png
MSB067,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,start_frame,A,三兄弟进入小路,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB067_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB067.png
MSB068,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,B,阿磊继续讲赢法,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB068_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB068.png
MSB069,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,C,小满跟不上,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB069_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB069.png
MSB070,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,prop,A,路边碎石第一次出现,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB070_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB070.png
MSB071,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,小川经过石块,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB071_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB071.png
MSB072,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,远处阴影,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB072_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB072.png
MSB073,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,A,阿磊脚步变慢,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB073_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB073.png
MSB074,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,storyboard,B,小川看哥哥表情,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB074_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB074.png
MSB075,B03,08,偏僻小路,SCN_ALLEY,CAM_ALLEY_01_WALK_HOME,end_frame,A,三人停在小路中段,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB075_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB075.png
MSB076,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,keyframe,A,混混四人亮相,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB076_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB076.png
MSB077,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,A,彬子向前半步,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB077_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB077.png
MSB078,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,A,高杆封侧路,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB078_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB078.png
MSB079,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,B,大海堵中线,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB079_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB079.png
MSB080,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,B,小齐起哄,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB080_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB080.png
MSB081,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,keyframe,A,阿磊挡弟弟,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB081_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB081.png
MSB082,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,A,小川被遮住半个,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB082_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB082.png
MSB083,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,B,小满靠墙,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB083_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB083.png
MSB084,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,storyboard,A,双方空间关系,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB084_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB084.png
MSB085,B03,09,四人堵路,SCN_ALLEY,CAM_ALLEY_02_BLOCKED,end_frame,A,彬子盯阿磊,media/01_AIGC/visual_assets/pure/micro_storyboard/B03/MSB085_v001.png,media/01_AIGC/whitebox_renders_v2/B03/WB2_ALLEY_MSB085.png
