shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,beat,pure_path,whitebox_path
MSB019,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,门帘擦镜,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB019_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png
MSB020,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,start_frame,A,三兄弟入口剪影,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB020_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png
MSB021,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,阿磊先迈入,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB021_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png
MSB022,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,小川看屏幕,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png
MSB023,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,B,小满贴近,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png
MSB024,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,keyframe,A,街机排布,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png
MSB025,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,B,摇杆按钮前景,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB025_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png
MSB026,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,C,烟雾和顶灯,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB026_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png
MSB027,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,storyboard,A,三兄弟深入,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB027_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png
MSB028,B01,03,游戏厅入口,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,end_frame,A,街霸机远处出现,media/01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB028_v001.png,media/01_AIGC/whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png
MSB029,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,keyframe,A,街霸机正面,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB029_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB029.png
MSB030,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,A,阿磊抢到操作位,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB030_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB030.png
MSB031,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,A,小川靠旁边看,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB031_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB031.png
MSB032,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,B,小满躲机器后,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB032_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB032.png
MSB033,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,B,按钮手部,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB033_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB033.png
MSB034,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,A,彬子进入边缘,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB034_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB034.png
MSB035,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,start_frame,A,两侧对位,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB035_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB035.png
MSB036,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,storyboard,B,小川反应,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB036_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB036.png
MSB037,B02,04,找到街霸,SCN_ARCADE,CAM_ARCADE_02_STREET_FIGHTER_CABINET,end_frame,B,硬币入槽,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB037_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB037.png
MSB038,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,start_frame,A,对战开局肩背,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB038_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB038.png
MSB039,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,B,阿磊快速按键,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB039_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB039.png
MSB040,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,A,彬子挑衅侧脸,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB040_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB040.png
MSB041,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,B,小川看哥哥,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB041_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB041.png
MSB042,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,B,屏幕战斗闪白,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB042_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB042.png
MSB043,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,A,阿磊嘴角压不住,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB043_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB043.png
MSB044,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,A,彬子表情变僵,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB044_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB044.png
MSB045,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,keyframe,A,胜利画面亮起,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB045_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB045.png
MSB046,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,keyframe,A,红光照彬子,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB046_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB046.png
MSB047,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,A,阿磊装不在乎,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB047_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB047.png
MSB048,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,storyboard,B,小川半笑,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB048_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB048.png
MSB049,B02,05,哥哥打赢老大,SCN_ARCADE,CAM_ARCADE_03_DUEL_OVER_SHOULDER,end_frame,A,彬子视线钉住阿磊,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB049_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB049.png
MSB050,B02,06,老大记仇,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,keyframe,A,彬子脸色沉下,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB050_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB050.png
MSB051,B02,06,老大记仇,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,storyboard,A,高杆入背景,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB051_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB051.png
MSB052,B02,06,老大记仇,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,storyboard,B,大海堵住后方,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB052_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB052.png
MSB053,B02,06,老大记仇,SCN_ARCADE,CAM_ARCADE_04_BOSS_LOSES_REACTION,storyboard,B,小齐起哄收声,media/01_AIGC/visual_assets/pure/micro_storyboard/B02/MSB053_v001.png,media/01_AIGC/whitebox_renders_v2/B02/WB2_ARCADE_MSB053.png
