shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,beat,pure_path,whitebox_path
MSB120,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,start_frame,A,入口内反打,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB120_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB120.png
MSB121,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,第一次冷绿光,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB121_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB121.png
MSB122,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,keyframe,A,走廊中轴,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB122_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB122.png
MSB123,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,小川继续跑,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB123_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB123.png
MSB124,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,B,脚步回声,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB124_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB124.png
MSB125,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,A,回头看入口,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB125_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB125.png
MSB126,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,C,墙面剥落细节,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB126_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB126.png
MSB127,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,end_frame,A,小川变小,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB127_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB127.png
MSB128,B05,13,进入废楼,SCN_CORRIDOR,CAM_CORRIDOR_01_ENTRY_LONG,storyboard,B,走廊空一拍,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB128_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB128.png
MSB129,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,start_frame,A,贴墙低位跟拍,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB129_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB129.png
MSB130,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,A,小川手扶墙,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB130_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB130.png
MSB131,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,A,回头无追兵,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB131_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB131.png
MSB132,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,keyframe,A,门洞重复,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB132_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB132.png
MSB133,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,B,灯管节奏,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB133_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB133.png
MSB134,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,A,小川停一下,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB134_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB134.png
MSB135,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,B,远处暗门,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB135_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB135.png
MSB136,B05,14,无限走廊,SCN_CORRIDOR,CAM_CORRIDOR_02_LOW_TRACK,storyboard,A,小川继续走,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB136_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_CORRIDOR_MSB136.png
