shot_id,batch,clip,clip_title,scene_id,camera,asset_type,priority,beat,pure_path,whitebox_path
MSB139,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,keyframe,A,暖光明确,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB139_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB139.png
MSB140,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,start_frame,A,小川远处停住,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB140_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB140.png
MSB141,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,A,铃声来源,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB141_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB141.png
MSB142,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,A,电话亭像错误物,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB142_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB142.png
MSB143,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,keyframe,A,冷暖对比,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB143_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB143.png
MSB144,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,B,小川迈出第一步,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB144_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB144.png
MSB145,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,storyboard,B,电话线细节远现,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB145_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB145.png
MSB146,B05,15,远处电话亭,SCN_PHONE,CAM_PHONE_01_DISTANT_GLOW,end_frame,A,靠近前停顿,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB146_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB146.png
MSB147,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,start_frame,A,电话亭门框前景,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB147_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB147.png
MSB148,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,A,暖光照红领巾,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB148_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB148.png
MSB149,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,B,书包边缘亮起,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB149_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB149.png
MSB150,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,A,小川看听筒,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB150_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB150.png
MSB151,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,A,伸手又缩,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB151_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB151.png
MSB152,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,keyframe,A,站到电话亭前,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB152_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB152.png
MSB153,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,storyboard,B,铃声压迫,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB153_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB153.png
MSB154,B05,16,靠近电话亭,SCN_PHONE,CAM_PHONE_02_APPROACH_CLOSE,end_frame,A,手准备拿起,media/01_AIGC/visual_assets/pure/micro_storyboard/B05/MSB154_v001.png,media/01_AIGC/whitebox_renders_v2/B05/WB2_PHONE_MSB154.png
