vp_id,kf_id,source_keyframe,prompt_file,expected_returned_clip,audio_rule,status,tool_used,notes
VP001,KF001,11_delivery/packages/external_i2v_upload_v1/units/VP001_KF001/VP001_KF001_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP001_KF001/VP001_KF001_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP001_KF001_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP002,KF002,11_delivery/packages/external_i2v_upload_v1/units/VP002_KF002/VP002_KF002_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP002_KF002/VP002_KF002_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP002_KF002_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP003,KF003,11_delivery/packages/external_i2v_upload_v1/units/VP003_KF003/VP003_KF003_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP003_KF003/VP003_KF003_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP003_KF003_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP004,KF004,11_delivery/packages/external_i2v_upload_v1/units/VP004_KF004/VP004_KF004_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP004_KF004/VP004_KF004_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP004_KF004_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP005,KF005,11_delivery/packages/external_i2v_upload_v1/units/VP005_KF005/VP005_KF005_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP005_KF005/VP005_KF005_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP005_KF005_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP006,KF006,11_delivery/packages/external_i2v_upload_v1/units/VP006_KF006/VP006_KF006_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP006_KF006/VP006_KF006_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP006_KF006_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP007,KF007,11_delivery/packages/external_i2v_upload_v1/units/VP007_KF007/VP007_KF007_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP007_KF007/VP007_KF007_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP007_KF007_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP008,KF008,11_delivery/packages/external_i2v_upload_v1/units/VP008_KF008/VP008_KF008_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP008_KF008/VP008_KF008_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP008_KF008_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP009,KF009,11_delivery/packages/external_i2v_upload_v1/units/VP009_KF009/VP009_KF009_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP009_KF009/VP009_KF009_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP009_KF009_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP010,KF010,11_delivery/packages/external_i2v_upload_v1/units/VP010_KF010/VP010_KF010_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP010_KF010/VP010_KF010_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP010_KF010_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP011,KF011,11_delivery/packages/external_i2v_upload_v1/units/VP011_KF011/VP011_KF011_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP011_KF011/VP011_KF011_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP011_KF011_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP012,KF012,11_delivery/packages/external_i2v_upload_v1/units/VP012_KF012/VP012_KF012_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP012_KF012/VP012_KF012_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP012_KF012_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP013,KF013,11_delivery/packages/external_i2v_upload_v1/units/VP013_KF013/VP013_KF013_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP013_KF013/VP013_KF013_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP013_KF013_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
VP014,KF014,11_delivery/packages/external_i2v_upload_v1/units/VP014_KF014/VP014_KF014_source_keyframe.png,11_delivery/packages/external_i2v_upload_v1/units/VP014_KF014/VP014_KF014_prompt.md,09_edit/external_clips/external_i2v_clips_v1/VP014_KF014_external_i2v.mp4,ambience/SFX only; no music/BGM/soundtrack,ready_for_upload,,
