panel_id,clip,start,end,duration,source_kind,source_path
MSB001,01,0.00,2.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png
MSB002,01,2.00,4.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png
MSB003,01,4.00,6.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png
MSB004,01,6.00,8.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png
MSB005,01,8.00,10.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png
MSB006,01,10.00,12.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png
MSB007,01,12.00,14.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png
MSB008,01,14.00,16.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png
MSB009,02,16.00,17.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png
MSB010,02,17.00,19.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png
MSB011,02,19.00,21.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png
MSB012,02,21.00,23.00,2.00,REAL,visual_assets/pure/micro_storyboard/B01/MSB012_v001.png
MSB013,02,23.00,25.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB013.png
MSB014,02,25.00,26.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png
MSB015,02,26.00,28.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB015.png
MSB016,02,28.00,30.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png
MSB017,02,30.00,32.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB017.png
MSB018,02,32.00,34.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png
MSB019,03,34.00,35.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB019.png
MSB020,03,35.00,37.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB020.png
MSB021,03,37.00,38.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB021.png
MSB022,03,38.00,40.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB022.png
MSB023,03,40.00,42.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB023.png
MSB024,03,42.00,43.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB024.png
MSB025,03,43.00,45.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB025.png
MSB026,03,45.00,46.00,1.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB026.png
MSB027,03,46.00,48.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB027.png
MSB028,03,48.00,50.00,2.00,WHITEBOX,whitebox_renders_v2/B01/WB2_ARCADE_MSB028.png
MSB029,04,50.00,51.00,1.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB029.png
MSB030,04,51.00,53.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB030.png
MSB031,04,53.00,55.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB031.png
MSB032,04,55.00,57.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB032.png
MSB033,04,57.00,58.00,1.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB033.png
MSB034,04,58.00,60.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB034.png
MSB035,04,60.00,62.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB035.png
MSB036,04,62.00,64.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB036.png
MSB037,04,64.00,66.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB037.png
MSB038,05,66.00,67.00,1.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB038.png
MSB039,05,67.00,69.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB039.png
MSB040,05,69.00,71.00,2.00,WHITEBOX,whitebox_renders_v2/B02/WB2_ARCADE_MSB040.png
