asset_id,type,path,source_doc,whitebox
CS_A,character,character_refs/CS_A_three_brothers_v001.png,06_keyframe_prompts.md,
CS_B,character,character_refs/CS_B_bully_group_v001.png,06_keyframe_prompts.md,
SC_01,scene,scene_refs/SC_01_compound_corner_v001.png,02_scene_reference_prompts.md,CAM_COMPOUND_01_ESTABLISH
SC_02,scene,scene_refs/SC_02_arcade_interior_v001.png,02_scene_reference_prompts.md,CAM_ARCADE_01_ENTRANCE_WIDE
SC_03,scene,scene_refs/SC_03_arcade_exit_v001.png,02_scene_reference_prompts.md,CAM_ARCADE_EXIT_01_LEAVING
SC_04,scene,scene_refs/SC_04_secluded_alley_v001.png,02_scene_reference_prompts.md,CAM_ALLEY_02_BLOCKED
SC_05,scene,scene_refs/SC_05_abandoned_corridor_phonebooth_v001.png,02_scene_reference_prompts.md,CAM_PHONE_01_DISTANT_GLOW
SC_06,scene,scene_refs/SC_06_8bit_stage_v001.png,02_scene_reference_prompts.md,CAM_8BIT_01_STAGE_WIDE
KF01,keyframe,keyframes/KF01_compound_corner_v001.png,06_keyframe_prompts.md,CAM_COMPOUND_01_ESTABLISH
KF02,keyframe,keyframes/KF02_three_brothers_approach_v001.png,06_keyframe_prompts.md,CAM_COMPOUND_02_BROTHERS_APPROACH
KF03,keyframe,keyframes/KF03_arcade_entrance_v001.png,06_keyframe_prompts.md,CAM_ARCADE_01_ENTRANCE_WIDE
KF04,keyframe,keyframes/KF04_street_fighter_victory_v001.png,06_keyframe_prompts.md,CAM_ARCADE_03_DUEL_OVER_SHOULDER
KF05,keyframe,keyframes/KF05_alley_blocked_v001.png,06_keyframe_prompts.md,CAM_ALLEY_02_BLOCKED
KF06,keyframe,keyframes/KF06_brother_surrounded_v001.png,06_keyframe_prompts.md,CAM_ALLEY_03_BROTHER_BEATEN
KF07,keyframe,keyframes/KF07_roadside_stone_accident_v001.png,06_keyframe_prompts.md,CAM_ALLEY_04_STONE_HIT
KF08,keyframe,keyframes/KF08_abandoned_corridor_v001.png,06_keyframe_prompts.md,CAM_CORRIDOR_01_ENTRY_LONG
KF09,keyframe,keyframes/KF09_distant_phonebooth_v001.png,06_keyframe_prompts.md,CAM_PHONE_01_DISTANT_GLOW
KF10,keyframe,keyframes/KF10_electronicization_v001.png,06_keyframe_prompts.md,CAM_PHONE_02_APPROACH_CLOSE
KF11,keyframe,keyframes/KF11_8bit_stage_entry_v001.png,06_keyframe_prompts.md,CAM_8BIT_01_STAGE_WIDE
KF12,keyframe,keyframes/KF12_win_insert_coin_v001.png,06_keyframe_prompts.md,CAM_8BIT_02_WIN_SCREEN
