track,event_id,start_time,end_time,wav_name,gain_db,pan,processing,notes
ambience,AMB_001,00:00.0,00:16.0,audio/ambience/AMB_001_compound_night_loop.wav,-18,center,"lowpass, subtle VHS noise",Clip 01 / MSB001-MSB008
sfx,SFX_001,00:08.0,00:16.0,audio/sfx/SFX_001_crt_leak_hum.wav,-6,center,CRT hum,Clip 01 / MSB003-MSB008
sfx,FOLEY_001,00:16.0,00:34.0,audio/sfx/FOLEY_001_three_brothers_steps.wav,-6,center,room/outdoor natural,Clip 02 / MSB009-MSB018
voice_dialogue,DIA_001,00:18.0,00:20.0,audio/voice_clean/DIA_001_alei_genjin.wav,-3,center,"dry child voice, slight alley room",Clip 02 / MSB009-MSB012
voice_dialogue,DIA_002,00:24.0,00:25.6,audio/voice_clean/DIA_002_xiaochuan_nengwan.wav,-3,center,dry child voice,Clip 02 / MSB013-MSB016
voice_dialogue,DIA_003,00:28.0,00:29.2,audio/voice_clean/DIA_003_alei_kanwo.wav,-3,center,dry child voice,Clip 02 / MSB017-MSB018
ambience,AMB_002,00:34.0,01:42.0,audio/ambience/AMB_002_old_arcade_loop.wav,-18,center,"roomy, smoky, VHS",Clip 03-06 / MSB019-MSB057
sfx,SFX_002,00:34.0,00:50.0,audio/sfx/SFX_002_plastic_curtain_wipe.wav,-6,center,close foley,Clip 03 / MSB019-MSB028
voice_walla,WLA_001,00:40.0,00:48.0,audio/voice_processed/WLA_001_arcade_walla.wav,-10,center,"roomy, CRT noise, muffled crowd",Clip 03 / MSB019-MSB028
voice_dialogue,DIA_004,00:57.0,00:58.4,audio/voice_clean/DIA_004_binzi_huiwan.wav,-3,center,dry with arcade bed separate,Clip 04 / MSB034-MSB036
sfx,SFX_003,00:58.0,01:02.0,audio/sfx/SFX_003_coin_insert.wav,-6,center,"close, metallic",Clip 04 / MSB029-MSB037
voice_dialogue,DIA_005,01:00.0,01:01.0,audio/voice_clean/DIA_005_alei_shishi.wav,-3,center,dry child voice,Clip 04 / MSB036-MSB037
