panel_id,batch,clip,clip_title,priority,story_stage,pure_path,annotated_path,whitebox_reference_path,status,production_order,notes
MSB001,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB001_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png,generated_passed_qa,1,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB002,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB002_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png,generated_passed_qa,2,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB003,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB003_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png,generated_passed_qa,3,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB007,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png,generated_passed_qa,4,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB008,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png,generated_passed_qa,5,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB009,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png,generated_passed_qa,6,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB010,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png,generated_passed_qa,7,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB011,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png,generated_passed_qa,8,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB012,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB012_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png,generated_passed_qa,9,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB014,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png,generated_passed_qa,10,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB016,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png,generated_passed_qa,11,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB018,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB018_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB018_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png,generated_passed_qa,12,pure generated and QA passed; image=1672x941; annotated_exists=True
MSB086,B04,10,围殴哥哥,A,S3_ALLEY_PRESSURE,visual_assets/pure/micro_storyboard/B04/MSB086_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB086_v001_annotated.png,whitebox_renders_v2/B04/WB2_ALLEY_MSB086.png,blocked_generation_policy_retry_needed,13,Built-in image generation rejected MSB086 twice even after rewriting as non-contact alley pressure; likely child/teen intimidation safety trigger. Use whitebox fallback in review video; retry later with a safer symbolic/offscreen approach or approved production model.
MSB088,B04,10,围殴哥哥,A,S3_ALLEY_PRESSURE,visual_assets/pure/micro_storyboard/B04/MSB088_v001.png,visual_assets/annotated/micro_storyboard/B04/MSB088_v001_annotated.png,whitebox_renders_v2/B04/WB2_ALLEY_MSB088.png,blocked_generation_policy_retry_needed,14,Built-in image generation rejected MSB088 even after rewriting as non-contact alley path-blocking; likely youth intimidation safety trigger. Use whitebox fallback in review video; retry later with symbolic/offscreen framing or approved production model.
