asset_id,asset_class,story_stage,pure_path,annotated_path,model_input_allowed,annotation_allowed,pure_qa_status,annotated_qa_status,notes
MSB001,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB001_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB001_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB002,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB002_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB002_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB003,keyframe,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB003_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB003_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB004,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB005,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB006,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB007,start_frame,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB008,end_frame,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB009,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB010,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB011,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB012,keyframe,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB012_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB012_v001_annotated.png,true,true,generated_needs_review,created,按最新包规则生成；晋级前需要视觉 QA / Generated under latest pack rules; needs visual QA before promotion.
MSB013,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB013_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB013_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB014,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB015,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB015_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB015_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB016,end_frame,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB017,storyboard,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB017_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB017_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB018,keyframe,S0_START_CLEAN,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB018_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB018_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB019,storyboard,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB019_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB019_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB020,start_frame,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB020_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB020_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB021,storyboard,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB021_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB021_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB022,storyboard,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB022_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB023,storyboard,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB023_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
MSB024,keyframe,S1_ARCADE_PLAY,01_AIGC/visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,01_AIGC/visual_assets/annotated/micro_storyboard/B01/MSB024_v001_annotated.png,true,true,pending,pending,纯图只在通过门禁后进入 AIGC；带标注版本仅供审阅 / Pure image feeds AIGC only after gate; annotated copy is review only.
