asset_id,category,batch,pure_path,annotated_path,pure_exists,no_text_or_labels,identity_ok,space_ok,lighting_ok,whitebox_ok,overall_status,issue_summary,root_cause,replacement_needed,replacement_path
MSB001,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB001_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB002,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB002_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB003,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB003_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB004,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB005,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB006,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB007,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB008,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,yes,yes,not_applicable_environment,yes,yes,yes,pass,,,no,
MSB009,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB010,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB011,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB012,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB012_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB013,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB013_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB013_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB014,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB015,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB015_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB015_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
MSB016,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,yes,yes,yes,yes,yes,yes,pass,,,no,
