panel_id,batch,clip,clip_title,priority,story_stage,pure_path,annotated_path,whitebox_reference_path,status,production_order,notes
MSB001,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB001_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v002_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png,pure_generated_needs_human_review,1,formal pure image generated 2026-05-28; small wall marks need no-text review before annotation
MSB002,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB002_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v002_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png,pure_generated_needs_human_review,2,formal pure image generated 2026-05-28; ready for director review before annotation
MSB003,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB003_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v002_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png,pure_generated_needs_human_review,3,formal pure image generated 2026-05-28; ready for director review before annotation
MSB007,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png,queued,4,generate pure first; annotate only after QA pass
MSB008,B01,01,老小区建立,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png,queued,5,generate pure first; annotate only after QA pass
MSB009,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png,queued,6,generate pure first; annotate only after QA pass
MSB010,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png,queued,7,generate pure first; annotate only after QA pass
MSB011,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png,queued,8,generate pure first; annotate only after QA pass
MSB012,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB012_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v003_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png,pure_generated_needs_human_review,9,formal pure image regenerated 2026-05-28 after prop-causality review; door curtain now hangs closed with CRT glow leakage because nobody has reached or opened it; needs director no-text review before annotation
MSB014,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png,queued,10,generate pure first; annotate only after QA pass
MSB016,B01,02,三兄弟靠近,A,S0_START_CLEAN,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png,queued,11,generate pure first; annotate only after QA pass
