asset_id,category,batch,source_ref,pure_path,annotated_path,prompt_source,annotation_source,status,story_stage,stage_name,whitebox_reference_path
MSB001,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB001_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v002_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,pure_generated_needs_human_review,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB001.png
MSB002,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB002_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v002_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,pure_generated_needs_human_review,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB002.png
MSB003,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB003_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v002_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,pure_generated_needs_human_review,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB003.png
MSB004,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB004.png
MSB005,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB005.png
MSB006,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB006.png
MSB007,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB007.png
MSB008,micro_storyboard,B01,Clip 01,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB008.png
MSB009,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB009.png
MSB010,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB010.png
MSB011,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB011.png
MSB012,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB012_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v003_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,pure_generated_needs_human_review,S0_START_CLEAN,three-brother back-view spatial grouping with closed curtain prop-causality,whitebox_renders_v2/B01/WB2_COMPOUND_MSB012.png
MSB013,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB013_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB013_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB013.png
MSB014,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB014.png
MSB015,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB015_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB015_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB015.png
MSB016,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB016.png
MSB017,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB017_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB017_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB017.png
MSB018,micro_storyboard,B01,Clip 02,visual_assets/pure/micro_storyboard/B01/MSB018_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB018_v001_annotated.png,exports/micro_storyboard_pure_image_prompts.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S0_START_CLEAN,????,whitebox_renders_v2/B01/WB2_COMPOUND_MSB018.png
MSB019,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB019_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB019_v002_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB020,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB020_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB020_v003_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB021,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB021_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB021_v003_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB022,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB022_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB023,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB023_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB024,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB024_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB025,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB025_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB025_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png
MSB026,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB026_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB026_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_CEILING_PRESSURE_constraint_whitebox_v001.png
MSB027,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB027_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB027_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB028,micro_storyboard,B01,Clip 03,visual_assets/pure/micro_storyboard/B01/MSB028_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB028_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png
MSB029,micro_storyboard,B02,Clip 04,visual_assets/pure/micro_storyboard/B02/MSB029_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB029_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png
MSB030,micro_storyboard,B02,Clip 04,visual_assets/pure/micro_storyboard/B02/MSB030_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB030_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png
MSB031,micro_storyboard,B02,Clip 04,visual_assets/pure/micro_storyboard/B02/MSB031_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB031_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png
MSB032,micro_storyboard,B02,Clip 04,visual_assets/pure/micro_storyboard/B02/MSB032_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB032_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_02_STREET_FIGHTER_CABINET_constraint_whitebox_v001.png
MSB033,micro_storyboard,B02,Clip 04,visual_assets/pure/micro_storyboard/B02/MSB033_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB033_v001_annotated.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/SCN_ARCADE_formal_storyboard_prompt_pack_v001.csv,exports/micro_storyboard_annotation_metadata.csv,planned,S1_ARCADE_PLAY,????????????,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png
