asset_id,category,batch,pure_path,annotated_path,pure_exists,no_text_or_labels,identity_ok,space_ok,lighting_ok,whitebox_ok,overall_status,issue_summary,root_cause,replacement_needed,replacement_path
MSB001,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB001_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB001_v002_annotated.png,pass,review,not_applicable,pass,pass,pass,pure_generated_needs_human_review,possible tiny wall marks near doorway/window need no-text human review,,no,
MSB002,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB002_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB002_v002_annotated.png,pass,pass,not_applicable,pass,pass,pass,pure_generated_needs_human_review,needs director review before annotated copy,,no,
MSB003,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB003_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB003_v002_annotated.png,pass,pass,not_applicable,pass,pass,pass,pure_generated_needs_human_review,needs director review before annotated copy,,no,
MSB004,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB004_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB004_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB005,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB005_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB005_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB006,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB006_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB006_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB007,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB007_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB007_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB008,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB008_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB008_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB009,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB009_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB009_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB010,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB010_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB010_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB011,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB011_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB011_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB012,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB012_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB012_v003_annotated.png,pass,review,review,pass,pass,pass,pure_generated_needs_human_review,v003 fixes v002 empty-open-curtain causality; right-wall tiny paper/sign detail needs no-text human review before annotation,v002 rejected because distant curtain was pulled open with no visible actor causing it,no,
MSB013,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB013_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB013_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB014,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB014_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB014_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB015,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB015_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB015_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB016,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB016_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB016_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB017,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB017_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB017_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB018,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB018_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB018_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB019,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB019_v002.png,visual_assets/annotated/micro_storyboard/B01/MSB019_v002_annotated.png,pending,pending,pending,pending,pending,pending,planned,v001 sparse arcade rejected; regenerate with very crowded smoky arcade density,,yes,visual_assets/pure/micro_storyboard/B01/MSB019_v002.png
MSB020,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB020_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB020_v003_annotated.png,pending,pending,pending,pending,pending,pending,planned,v002 rejected: wrong_camera_subject_relation; rear-follow entrance shot must show backs/three-quarter backs and gaze into crowded arcade,character-sheet/front-facing bias in storyboard prompt,yes,visual_assets/pure/micro_storyboard/B01/MSB020_v003.png
MSB021,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB021_v003.png,visual_assets/annotated/micro_storyboard/B01/MSB021_v003_annotated.png,pending,pending,pending,pending,pending,pending,planned,v002 rejected: wrong_camera_subject_relation; rear-follow entrance shot must show backs/three-quarter backs and gaze into crowded arcade,character-sheet/front-facing bias in storyboard prompt,yes,visual_assets/pure/micro_storyboard/B01/MSB021_v003.png
MSB022,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB022_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB022_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB023,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB023_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB023_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB024,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB024_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB024_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB025,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB025_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB025_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB026,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB026_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB026_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB027,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB027_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB027_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB028,micro_storyboard,B01,visual_assets/pure/micro_storyboard/B01/MSB028_v001.png,visual_assets/annotated/micro_storyboard/B01/MSB028_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB029,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB029_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB029_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB030,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB030_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB030_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB031,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB031_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB031_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB032,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB032_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB032_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
MSB033,micro_storyboard,B02,visual_assets/pure/micro_storyboard/B02/MSB033_v001.png,visual_assets/annotated/micro_storyboard/B02/MSB033_v001_annotated.png,pending,pending,pending,pending,pending,pending,planned,,,,
