panel_id,batch,clip,scene_id,selected_constraint_camera,mother_style_reference,constraint_whitebox_path,pure_prompt,negative_prompt,status
MSB019,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB019 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 脏塑料门帘贴着镜头擦过，后面露出旧街机彩光. Blocking or motion: 门帘晃动作为隐藏剪辑. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB020,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB020 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 三兄弟站在入口下方，室内低天花和两侧街机压住他们. Blocking or motion: 站位保持阿磊前、小川中、小满后. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB021,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB021 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 阿磊向前迈一步，肩膀故意撑开，小川和小满还在门口. Blocking or motion: 向前一步后停. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB022,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB022 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 小川侧脸被蓝绿屏幕光照亮，红领巾和书包边缘清楚. Blocking or motion: 头部小幅转向街机. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB023,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB023 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 小满靠近小川身后，只露半个身体，看向发光屏幕. Blocking or motion: 抓衣角，跟半步. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB024,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB024 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 两排旧街机形成狭窄通道，远处有人影但不抢主体. Blocking or motion: slow dolly in. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB025,B01,03,SCN_ARCADE,CAM_ARCADE_DETAIL_CONTROL_PANEL,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB025 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_DETAIL_CONTROL_PANEL_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_DETAIL_CONTROL_PANEL. Layout/action focus: 磨损摇杆、彩色按钮、硬币槽，孩子的手和旧机器比例对比. Blocking or motion: 固定近景. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB026,B01,03,SCN_ARCADE,CAM_ARCADE_CEILING_PRESSURE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_CEILING_PRESSURE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB026 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_CEILING_PRESSURE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_CEILING_PRESSURE. Layout/action focus: 昏暗顶灯、烟雾、墙上海报和老旧天花板形成密闭感. Blocking or motion: 只允许烟雾轻动. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB027,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB027 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 三人沿街机通道向里走，阿磊被机器吸引，小川跟着看，小满被拉着走. Blocking or motion: 前进方向清楚. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
MSB028,B01,03,SCN_ARCADE,CAM_ARCADE_01_ENTRANCE_WIDE,environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png,environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png,"Pure cinematic storyboard frame for AIGC video generation, 16:9 landscape, high-resolution film still quality, no annotations, no captions, no visible readable text. 1990s small-town China hidden arcade room, Chinese dreamcore realism, humid yellowed childhood memory, dim gray-yellow light, CRT blue-green-red screen glow, subtle VHS grain, lived-in dirty surfaces. Panel MSB028 / clip 03. Use mother style reference path: environment_lookdev/SCN_ARCADE/SCN_ARCADE_lookdev_A_entrance_wide_v002_game_screens.png. Use spatial constraint whitebox path: environment_lookdev/SCN_ARCADE/camera_whiteboxes_v001/CAM_ARCADE_01_ENTRANCE_WIDE_constraint_whitebox_v001.png. Camera constraint: CAM_ARCADE_01_ENTRANCE_WIDE. Layout/action focus: 远处一台街头霸王机器的屏幕更亮，像目标点. Blocking or motion: 镜头停在机器方向. Keep SCN_ARCADE design DNA consistent: dirty plastic entrance strips, low stained ceiling, narrow wet aisle, left and right rows of bulky black CRT arcade cabinets, rear two-player fictional fighting cabinet, old wooden stools, single warm dirty bulb, ceiling fan, sagging wires, peeling gray walls, unreadable poster scraps. Arcade screen content must be fictional and non-infringing: genre-level 1990s fighting-game, beat-em-up, side-scrolling action, and vertical shooter energy only; no real game title, no logo, no copyrighted UI, no recognizable character from existing games. Preserve the same room proportions and cabinet positions from the whitebox; only add final cinematic texture, light, haze, characters, and period detail. Crowd-density lock: the hidden arcade must feel very crowded and smoky, with shoulder-to-shoulder local kids, teenagers, and older bystanders packed around machines, silhouettes overlapping the aisle, cigarette-smoke haze, humid fog, and layered background faces; never make the arcade feel empty or spacious.","Do not show modern arcade cabinets, LCD screens, smartphones, LED esports room, cyberpunk neon club, clean mall game center, readable game names, real Street Fighter, real Mortal Kombat, real Cadillacs and Dinosaurs, real Dynasty Wars, real Captain Commando, real Psikyo logos, copyrighted characters, gore, adult gangsters, anime style, toy-like 3D, poster text, watermark, subtitle, annotation., empty arcade, sparse people, clean open aisle, showroom-like room, only three people in the whole arcade, clear fresh air, smoke-free room",ready_for_formal_generation_with_mother_style_and_whitebox_space
